Term,P(class1),P(class2),P(class3),P(class4)
3d,0.0002,0.0005,0.0002,0.0002
4,0.0001,0.0003,0.0002,0.0002
4%,0.0002,0.0001,0.0002,0.0002
4.19,0.0002,0.0001,0.0002,0.0002
4.44,0.0002,0.0001,0.0002,0.0002
4.66%,0.0002,0.0001,0.0002,0.0002
4.8553,0.0001,0.0003,0.0002,0.0002
40,0.0002,0.0001,0.0002,0.0002
40.30%,0.0001,0.0003,0.0002,0.0002
415,0.0003,0.0001,0.0002,0.0002
42,0.0001,0.0003,0.0002,0.0002
42.73%,0.0001,0.0003,0.0002,0.0002
45,0.0002,0.0001,0.0002,0.0002
46.23%,0.0001,0.0001,0.0003,0.0002
47%,0.0001,0.0003,0.0002,0.0002
47.38%,0.0001,0.0003,0.0002,0.0002
5,0.0001,0.0003,0.0002,0.0002
5%,0.0003,0.0003,0.0002,0.0002
5.76,0.0002,0.0001,0.0002,0.0002
50,0.0002,0.0001,0.0003,0.0002
50%,0.0003,0.0001,0.0002,0.0002
53.61%,0.0001,0.0003,0.0002,0.0002
54.537,0.0001,0.0003,0.0002,0.0002
6,0.0001,0.0001,0.0003,0.0002
6.35%,0.0002,0.0001,0.0002,0.0002
6.61%,0.0002,0.0001,0.0002,0.0002
60%,0.0003,0.0001,0.0002,0.0002
7.4330,0.0002,0.0001,0.0002,0.0002
7.98,0.0002,0.0001,0.0002,0.0002
70%,0.0003,0.0001,0.0002,0.0002
76%,0.0002,0.0001,0.0002,0.0002
77.6%,0.0001,0.0001,0.0003,0.0002
77.7%,0.0002,0.0001,0.0002,0.0002
79.5%,0.0001,0.0001,0.0003,0.0002
79.6%,0.0001,0.0001,0.0003,0.0002
79.77%,0.0002,0.0001,0.0002,0.0002
8,0.0001,0.0003,0.0002,0.0004
80%,0.0002,0.0001,0.0002,0.0002
80.9%,0.0002,0.0001,0.0002,0.0002
80.92%,0.0002,0.0001,0.0002,0.0002
81%,0.0001,0.0001,0.0003,0.0002
84,0.0002,0.0001,0.0002,0.0002
85,0.0003,0.0001,0.0002,0.0002
85.4%,0.0001,0.0001,0.0003,0.0002
85.96%,0.0001,0.0001,0.0003,0.0002
86.93%,0.0001,0.0003,0.0002,0.0002
87.02%,0.0002,0.0001,0.0002,0.0002
87.18,0.0002,0.0001,0.0002,0.0002
88,0.0001,0.0001,0.0003,0.0002
89.8%,0.0001,0.0001,0.0003,0.0002
9,0.0002,0.0005,0.0003,0.0002
9.1%,0.0002,0.0001,0.0002,0.0002
9.35%,0.0001,0.0001,0.0003,0.0002
9.4%,0.0002,0.0001,0.0002,0.0002
90%,0.0002,0.0001,0.0002,0.0002
90.75%,0.0001,0.0001,0.0003,0.0002
90.76%,0.0001,0.0001,0.0003,0.0002
9019,0.0001,0.0003,0.0002,0.0002
92%,0.0001,0.0003,0.0002,0.0002
92.45%,0.0001,0.0003,0.0002,0.0002
92.63%,0.0001,0.0001,0.0003,0.0002
93.2%,0.0001,0.0003,0.0002,0.0002
93.33%,0.0001,0.0001,0.0003,0.0002
93.8%,0.0001,0.0001,0.0003,0.0002
94.3%,0.0001,0.0001,0.0003,0.0002
94.38%,0.0001,0.0003,0.0002,0.0002
94.785,0.0001,0.0003,0.0002,0.0002
95%,0.0001,0.0001,0.0003,0.0002
95.1%,0.0001,0.0001,0.0003,0.0002
95.11%,0.0002,0.0001,0.0002,0.0002
95.44%,0.0002,0.0001,0.0002,0.0002
95.6%,0.0001,0.0001,0.0003,0.0002
96%,0.0001,0.0001,0.0005,0.0002
