Term,P(class1),P(class2),P(class3),P(class4)
3D,0.0002,0.0004,0.0001,0.0001
4,0.0001,0.0002,0.0001,0.0001
4%,0.0002,0.0001,0.0001,0.0001
4.19,0.0002,0.0001,0.0001,0.0001
4.44,0.0002,0.0001,0.0001,0.0001
4.66%,0.0002,0.0001,0.0001,0.0001
4.8553,0.0001,0.0002,0.0001,0.0001
40,0.0002,0.0001,0.0001,0.0001
40.30%,0.0001,0.0002,0.0001,0.0001
415,0.0002,0.0001,0.0001,0.0001
42,0.0001,0.0002,0.0001,0.0001
42.73%,0.0001,0.0002,0.0001,0.0001
45,0.0002,0.0001,0.0001,0.0001
46.23%,0.0001,0.0001,0.0003,0.0001
47%,0.0001,0.0002,0.0001,0.0001
47.38%,0.0001,0.0002,0.0001,0.0001
5,0.0001,0.0002,0.0001,0.0001
5%,0.0002,0.0002,0.0001,0.0001
5.76,0.0002,0.0001,0.0001,0.0001
50,0.0002,0.0001,0.0003,0.0001
50%,0.0002,0.0001,0.0001,0.0001
53.61%,0.0001,0.0002,0.0001,0.0001
54.537,0.0001,0.0002,0.0001,0.0001
6,0.0001,0.0001,0.0003,0.0001
6.35%,0.0002,0.0001,0.0001,0.0001
6.61%,0.0002,0.0001,0.0001,0.0001
60%,0.0002,0.0001,0.0001,0.0001
7.4330,0.0002,0.0001,0.0001,0.0001
7.98,0.0002,0.0001,0.0001,0.0001
70%,0.0002,0.0001,0.0001,0.0001
76%,0.0002,0.0001,0.0001,0.0001
77.6%,0.0001,0.0001,0.0003,0.0001
77.7%,0.0002,0.0001,0.0001,0.0001
79.5%,0.0001,0.0001,0.0003,0.0001
79.6%,0.0001,0.0001,0.0003,0.0001
79.77%,0.0002,0.0001,0.0001,0.0001
8,0.0001,0.0002,0.0001,0.0003
80%,0.0002,0.0001,0.0001,0.0001
80.9%,0.0002,0.0001,0.0001,0.0001
80.92%,0.0002,0.0001,0.0001,0.0001
81%,0.0001,0.0001,0.0003,0.0001
84,0.0002,0.0001,0.0001,0.0001
85,0.0002,0.0001,0.0001,0.0001
85.4%,0.0001,0.0001,0.0003,0.0001
85.96%,0.0001,0.0001,0.0003,0.0001
86.93%,0.0001,0.0002,0.0001,0.0001
87.02%,0.0002,0.0001,0.0001,0.0001
87.18,0.0002,0.0001,0.0001,0.0001
88,0.0001,0.0001,0.0003,0.0001
89.8%,0.0001,0.0001,0.0003,0.0001
9,0.0002,0.0004,0.0003,0.0001
9.1%,0.0002,0.0001,0.0001,0.0001
9.35%,0.0001,0.0001,0.0003,0.0001
9.4%,0.0002,0.0001,0.0001,0.0001
90%,0.0002,0.0001,0.0001,0.0001
90.75%,0.0001,0.0001,0.0003,0.0001
90.76%,0.0001,0.0001,0.0003,0.0001
9019,0.0001,0.0002,0.0001,0.0001
92%,0.0001,0.0002,0.0001,0.0001
92.45%,0.0001,0.0002,0.0001,0.0001
92.63%,0.0001,0.0001,0.0003,0.0001
93.2%,0.0001,0.0002,0.0001,0.0001
93.33%,0.0001,0.0001,0.0003,0.0001
93.8%,0.0001,0.0001,0.0003,0.0001
94.3%,0.0001,0.0001,0.0003,0.0001
94.38%,0.0001,0.0002,0.0001,0.0001
94.785,0.0001,0.0002,0.0001,0.0001
95%,0.0001,0.0001,0.0003,0.0001
95.1%,0.0001,0.0001,0.0003,0.0001
95.11%,0.0002,0.0001,0.0001,0.0001
95.44%,0.0002,0.0001,0.0001,0.0001
95.6%,0.0001,0.0001,0.0003,0.0001
96%,0.0001,0.0001,0.0004,0.0001
96.04%,0.0001,0.0001,0.0003,0.0001
96.24%,0.0001,0.0001,0.0003,0.0001
96.25%,0.0001,0.0001,0.0004,0.0001
96.7%,0.0001,0.0001,0.0003,0.0001
96.97%,0.0002,0.0001,0.0001,0.0001
97%,0.0001,0.0001,0.0003,0.0001
97.49%,0.0002,0.0001,0.0001,0.0001
98%,0.0001,0.0002,0.0001,0.0001
98.14%,0.0002,0.0001,0.0001,0.0001
98.79%,0.0001,0.0002,0.0001,0.0001
98.86%,0.0002,0.0001,0.0001,0.0001
99,0.0001,0.0002,0.0001,0.0001
99%,0.0001,0.0003,0.0001,0.0001
ABC,0.0007,0.0001,0.0001,0.0001
ABC-GA-QL,0.0004,0.0001,0.0001,0.0001
ACC,0.0001,0.0001,0.0001,0.0003
ACO,0.0002,0.0001,0.0001,0.0001
ADASYN,0.0001,0.0002,0.0001,0.0001
ADF,0.0001,0.0002,0.0001,0.0001
AEFA,0.0002,0.0001,0.0001,0.0001
AHA,0.0002,0.0001,0.0001,0.0001
AI,0.0001,0.0009,0.0001,0.0005
AI-driven,0.0001,0.0002,0.0001,0.0001
AL-Karkh,0.0001,0.0001,0.0003,0.0001
AL-Wathba,0.0001,0.0001,0.0003,0.0001
ALSO,0.0002,0.0001,0.0001,0.0001
ANAKE,0.0001,0.0001,0.0005,0.0001
ANN,0.0001,0.0001,0.0003,0.0001
ANNs,0.0001,0.0001,0.0003,0.0001
ANOVA,0.0002,0.0001,0.0001,0.0001
AOs,0.0001,0.0001,0.0001,0.0004
ARIMA,0.0001,0.0003,0.0001,0.0001
ARO,0.0005,0.0001,0.0001,0.0001
ASSD,0.0001,0.0003,0.0001,0.0001
Ablation,0.0001,0.0002,0.0004,0.0001
According,0.0002,0.0002,0.0001,0.0001
Accurate,0.0001,0.0002,0.0004,0.0001
Accurately,0.0001,0.0002,0.0003,0.0001
Ad,0.0001,0.0002,0.0001,0.0001
AdaBoost,0.0001,0.0002,0.0001,0.0001
Adaboost,0.0001,0.0001,0.0003,0.0001
Adam,0.0001,0.0002,0.0001,0.0001
Adaptive,0.0002,0.0003,0.0003,0.0001
Additionally,0.0007,0.0004,0.0008,0.0005
Additive,0.0001,0.0002,0.0001,0.0001
Addressing,0.0002,0.0003,0.0001,0.0003
Adjusted,0.0001,0.0001,0.0003,0.0001
Advanced,0.0001,0.0002,0.0001,0.0001
Advancing,0.0001,0.0001,0.0001,0.0003
Afterward,0.0002,0.0001,0.0003,0.0001
Afterwards,0.0001,0.0001,0.0003,0.0001
Agriculture,0.0001,0.0002,0.0003,0.0001
AlexNet,0.0001,0.0003,0.0001,0.0001
Algorithm,0.0013,0.0002,0.0017,0.0001
Algorithms,0.0001,0.0001,0.0004,0.0001
Along,0.0001,0.0002,0.0001,0.0001
Also,0.0002,0.0002,0.0001,0.0001
Although,0.0002,0.0003,0.0001,0.0003
AmI,0.0001,0.001,0.0001,0.0001
Among,0.0002,0.0002,0.0003,0.0001
Analyzing,0.0002,0.0001,0.0001,0.0001
Anderson,0.0001,0.0002,0.0001,0.0001
Ant,0.0002,0.0001,0.0001,0.0001
Apache,0.0001,0.0002,0.0001,0.0001
Apple,0.0001,0.0002,0.0001,0.0001
Application,0.0001,0.0001,0.0001,0.0003
